

Minimum : 3

Score : 3

 (Subject#Professor#Student Group)

Room Number: G101

Timings: ,8:00 TO 9:00,9:00 TO 10:00,10:15 TO 11:15,10:15 TO 12:15,1:00 TO 2:00,2:00 TO 3:00,
Days
Monday,FREE LECTURE,FREE LECTURE,(SDLLAB1#Handge#TE1),(SDLLAB1#Handge#TE1),FREE LECTURE,FREE LECTURE,
Tuesday,FREE LECTURE,FREE LECTURE,FREE LECTURE,FREE LECTURE,(DBMSL1#Mane#TE1),(DBMSL1#Mane#TE1),
Wednesday,FREE LECTURE,FREE LECTURE,FREE LECTURE,FREE LECTURE,(DBMSL1#Mane#TE1),(DBMSL1#Mane#TE1),
Thursday,(SDLLAB1#Handge#TE1),(SDLLAB1#Handge#TE1),FREE LECTURE,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Friday,FREE LECTURE,FREE LECTURE,(CNL1#Kothari#TE1),(CNL1#Kothari#TE1),FREE LECTURE,FREE LECTURE,



Room Number: A-311

Timings: ,8:00 TO 9:00,9:00 TO 10:00,10:15 TO 11:15,10:15 TO 12:15,1:00 TO 2:00,2:00 TO 3:00,
Days
Monday,  (SE&PM1 # Handge#TE1),  (TOC1 # Shintre1#TE1),LAB,LAB,  (SDL1 # Mane#TE1),  (ISEE1 # Hiremani#TE1),
Tuesday,  (TOC1 # Shintre1#TE1),  (DBMS1 # Joshi#TE1),  (CN1 # Jewalikar#TE1),  (CN1 # Jewalikar#TE1),LAB,LAB,
Wednesday,  (CN1 # Jewalikar#TE1),  (TOC1 # Shintre1#TE1),FREE LECTURE,FREE LECTURE,LAB,LAB,
Thursday,LAB,LAB,  (SE&PM1 # Handge#TE1),  (SE&PM1 # Handge#TE1),  (ISEE1 # Hiremani#TE1),  (ISEE1 # Hiremani#TE1),
Friday,  (CN1 # Jewalikar#TE1),  (DBMS1 # Joshi#TE1),LAB,LAB,  (DBMS1 # Joshi#TE1),  (SDL1 # Jambhulkar#TE1),



Minimum : 3

Score : 3

 (Subject#Professor#Student Group)

Room Number: A-302

Timings: ,8:00 TO 9:00,9:00 TO 10:00,10:15 TO 11:15,10:15 TO 12:15,1:00 TO 2:00,2:00 TO 3:00,
Days
Monday,FREE LECTURE,FREE LECTURE,FREE LECTURE,FREE LECTURE,(SDLLAB#Vidap#TE2),(SDLLAB#Vidap#TE2),
Tuesday,FREE LECTURE,FREE LECTURE,FREE LECTURE,FREE LECTURE,(DBMSL#Patel#TE2),(DBMSL#Patel#TE2),
Wednesday,FREE LECTURE,FREE LECTURE,(SDLLAB#Chavan#TE2),(SDLLAB#Chavan#TE2),FREE LECTURE,FREE LECTURE,
Thursday,(DBMSL#Phakatkar#TE2),(DBMSL#Phakatkar#TE2),FREE LECTURE,FREE LECTURE,FREE LECTURE,FREE LECTURE,
Friday,FREE LECTURE,FREE LECTURE,(CNL#Jain#TE2),(CNL#Jain#TE2),FREE LECTURE,FREE LECTURE,



Room Number: A-309

Timings: ,8:00 TO 9:00,9:00 TO 10:00,10:15 TO 11:15,10:15 TO 12:15,1:00 TO 2:00,2:00 TO 3:00,
Days
Monday,  (SE&PM # Sharma#TE2),  (CN # Wakode#TE2),  (DBMS # Patel#TE2),  (TOC # Shintre#TE2),LAB,LAB,
Tuesday,  (CN # Chavan#TE2),  (TOC # Shintre#TE2),  (DBMS # Patel#TE2),  (SE&PM # Sharma#TE2),LAB,LAB,
Wednesday,  (ISEE # Chandorkar#TE2),  (CN # Jain#TE2),LAB,LAB,  (DBMS # Phakatkar#TE2),  (ISEE # Chandorkar#TE2),
Thursday,LAB,LAB,  (TOC # Shintre#TE2),  (ISEE # Chandorkar#TE2),  (SDL # Vidap#TE2),  (SDL # Chandorkar#TE2),
Friday,  (SE&PM # Sharma#TE2),  (CN # Chavan#TE2),LAB,LAB,FREE LECTURE,FREE LECTURE,



Minimum : 5

Score : 5

 (Subject#Professor#Student Group)

Room Number: D301

Timings: ,8:00 TO 9:00,9:00 TO 10:00,10:15 TO 11:15,10:15 TO 12:15,1:00 TO 2:00,2:00 TO 3:00,
Days
Monday,FREE LECTURE,FREE LECTURE,FREE LECTURE,FREE LECTURE,(DBMSL2#Kadam#TE3),(DBMSL2#Kadam#TE3),
Tuesday,FREE LECTURE,FREE LECTURE,(SDLLAB2#Reddy#TE3),(SDLLAB2#Reddy#TE3),FREE LECTURE,FREE LECTURE,
Wednesday,FREE LECTURE,FREE LECTURE,(CNL2#Jain1#TE3),(CNL2#Jain1#TE3),FREE LECTURE,FREE LECTURE,
Thursday,FREE LECTURE,FREE LECTURE,FREE LECTURE,FREE LECTURE,(SDLLAB2#Reddy#TE3),(SDLLAB2#Reddy#TE3),
Friday,(DBMSL2#Kadam#TE3),(DBMSL2#Kadam#TE3),FREE LECTURE,FREE LECTURE,FREE LECTURE,FREE LECTURE,



Room Number: A-302

Timings: ,8:00 TO 9:00,9:00 TO 10:00,10:15 TO 11:15,10:15 TO 12:15,1:00 TO 2:00,2:00 TO 3:00,
Days
Monday,  (CN2 # Chavhan1#TE3),  (ISEE2 # Shinde#TE3),  (DBMS2 # Phakatkar#TE3),  (CN2 # Chavhan1#TE3),LAB,LAB,
Tuesday,  (ISEE2 # Shinde#TE3),  (CN2 # Chavhan1#TE3),LAB,LAB,  (SDL2 # Jambhulkar1#TE3),  (SE&PM2 # Reddy#TE3),
Wednesday,  (CN2 # Chavhan1#TE3),  (SE&PM2 # Reddy#TE3),LAB,LAB,  (TOC2 # Kadam#TE3),  (ISEE2 # Shinde#TE3),
Thursday,  (DBMS2 # Phakatkar#TE3),  (SE&PM2 # Reddy#TE3),  (SDL2 # Jambhulkar1#TE3),  (DBMS2 # Phakatkar#TE3),LAB,LAB,
Friday,LAB,LAB,  (TOC2 # Kadam#TE3),  (TOC2 # Kadam#TE3),FREE LECTURE,FREE LECTURE,

